Episode,Date,Guests,Topics,Polls,Stream,ILoF on YT
104,8-Jul-2020,"Marty Lederman, Thomas Berg, Anna Salvatore",supreme court (religious freedom),,https://www.youtube.com/watch?v=nGJorGSSn3I,
103,7-Jul-2020,Carrie Johnson (@johnson_carrie),interviewing,,https://www.youtube.com/watch?v=3TuLKtwKp8Q,
102,6-Jul-2020,Wilfred U. Codrington III (@wuc3),supreme court (faithless electors),,https://www.youtube.com/watch?v=_li_K6XSBOk,
101,5-Jul-2020,David Priess (@DavidPriess),presidential daily briefings (PDB),,https://www.youtube.com/watch?v=CSww9j4_psM,
100,4-Jul-2020,(guest roundup from previous episodes),,,https://www.youtube.com/watch?v=lUN2CuGTtHk,
99,3-Jul-2020,Claudia Deane (@c_deane),polling,,https://www.youtube.com/watch?v=ajHkbQDYdyE,
98,2-Jul-2020,Ada Palmer,"history, speculative fiction",,https://www.youtube.com/watch?v=vcWc_5-65BY,
97,1-Jul-2020,"Alvin Cheung (@alvinkcheung), Jordan Schneider (@jordanschnyc)",Hong Kong,,https://www.youtube.com/watch?v=sSg5N_teCKs,
96,30-Jun-2020,Tim Miller (@Timodc),"Parler, oppo",,https://www.youtube.com/watch?v=-PSz6jWD8lE,
95,29-Jun-2020,"Marty Lederman, Leah Littman, Scott Anderson","supreme court (abortion, unitary executive)",,https://www.youtube.com/watch?v=_c0NVSXluPw,
94,28-Jun-2020,Mike Godwin (@sfmnemonic),social media,,https://www.youtube.com/watch?v=d8jvRDNVzkY,
93,27-Jun-2020,(none),,,https://www.youtube.com/watch?v=obgAI8gvVFs,
92,26-Jun-2020,Dan Byman,"institutions, law enforcement, terrorism",,https://www.youtube.com/watch?v=Yo-wah-7IjY,
91,25-Jun-2020,Camille François (@camillefrancois),"misinformation, disinformation, active measures",,https://www.youtube.com/watch?v=G1SzMKTimV8,
90,24-Jun-2020,"Jonathan Zittrain (@zittrain), Carrie Goldberg (@cagoldberglaw)","section 230, content moderation",,https://www.youtube.com/watch?v=omcuI8ljmiI,
89,23-Jun-2020,Thomas Rid (@RidT),"cybersecurity, active measures",,https://www.youtube.com/watch?v=YCuUJIrZ60E,
88,22-Jun-2020,"Adam Serwer, Julian Sanchez","police accountability, elections",,https://www.youtube.com/watch?v=2lz5iwRwqrg,
87,21-Jun-2020,Rick Wilson (@TheRickWilson),defeating Trumpism,,https://www.youtube.com/watch?v=Ryn7-FA7FmU,
